date,no2,o3,pm25,pm10,temperature,humidity
2020-01-01,14.0,4.0,37.0,65.0,7.0,49.0
2020-01-02,14.0,4.0,37.0,65.0,6.0,50.0
2020-01-03,14.0,4.0,56.0,101.0,6.0,48.0
2020-01-04,14.0,4.0,89.0,150.0,6.0,47.0
2020-01-05,14.0,4.0,19.0,33.0,6.0,52.0
2020-01-06,14.0,4.0,7.0,13.0,4.0,45.0
2020-01-07,14.0,4.0,21.0,34.0,4.0,44.0
2020-01-08,14.0,4.0,38.0,70.0,4.0,40.0
2020-01-09,14.0,4.0,59.0,105.0,4.0,46.0
2020-01-10,14.0,4.0,88.0,148.0,6.0,47.0
2020-01-11,14.0,4.0,75.0,132.0,7.0,55.0
2020-01-12,14.0,4.0,43.0,66.0,7.0,72.0
2020-01-13,14.0,4.0,43.0,88.0,6.0,73.0
2020-01-14,14.0,4.0,26.0,49.0,5.0,71.0
2020-01-15,15.0,4.0,29.0,60.0,4.0,71.0
2020-01-16,22.0,9.0,39.0,73.0,4.0,69.0
2020-01-17,25.0,6.0,65.0,117.0,5.0,66.0
2020-01-18,20.0,8.0,41.0,81.0,4.0,70.0
2020-01-19,19.0,24.0,38.0,65.0,6.0,63.0
2020-01-20,19.0,30.0,19.0,34.0,5.0,54.0
2020-01-21,24.0,20.0,39.0,71.0,4.0,52.0
2020-01-22,38.0,8.0,78.0,138.0,4.0,54.0
2020-01-23,29.0,21.0,61.0,108.0,5.0,53.0
2020-01-24,33.0,13.0,61.0,108.0,4.0,52.0
2020-01-25,41.0,14.0,85.0,145.0,5.0,53.0
2020-01-26,38.0,14.0,105.0,167.0,7.0,58.0
2020-01-27,48.0,3.0,110.0,166.0,9.0,72.0
2020-01-28,32.0,5.0,77.0,133.0,9.0,72.0
2020-01-29,35.0,8.0,53.0,83.0,9.0,75.0
2020-01-30,37.0,21.0,17.0,31.0,8.0,58.0
2020-01-31,42.0,13.0,38.0,65.0,7.0,56.0
2020-02-01,43.0,13.0,49.0,80.0,9.0,58.0
2020-02-02,40.0,14.0,47.0,75.0,11.0,61.0
